6, 6, 3

 E, 1, 2, 7

 C, 1, 2, 14

 F, 1, 2, 9

 F, 1, 3, 11

 E, 1, 4, 7

 C, 1, 4, 38

 F, 1, 4, 12

 F, 1, 5, 8

 E, 1, 6, 9

 C, 1, 6, 19

 F, 1, 6, 12

 F, 2, 1, 18

 E, 2, 3, 5

 C, 2, 3, 65

 F, 2, 3, 15

 F, 2, 4, 10

 E, 2, 5, 10

 C, 2, 5, 5

 F, 2, 5, 17

 E, 2, 6, 3

 C, 2, 6, 57

 F, 2, 6, 18

 E, 3, 1, 9

 C, 3, 1, 5

 F, 3, 1, 17

 E, 3, 2, 10

 C, 3, 2, 5

 F, 3, 2, 18

 E, 3, 4, 8

 C, 3, 4, 25

 F, 3, 4, 14

 E, 3, 5, 4

 C, 3, 5, 136

 F, 3, 5, 10

 E, 3, 6, 6

 C, 3, 6, 7

 F, 3, 6, 10

 E, 4, 1, 9

 C, 4, 1, 15

 F, 4, 1, 17

 E, 4, 2, 4

 C, 4, 2, 31

 F, 4, 2, 8

 E, 4, 3, 2

 C, 4, 3, 47

 F, 4, 3, 10

 F, 4, 5, 17

 F, 4, 6, 18

 E, 5, 1, 3

 C, 5, 1, 72

 F, 5, 1, 15

 E, 5, 2, 5

 C, 5, 2, 41

 F, 5, 2, 9

 E, 5, 3, 10

 C, 5, 3, 9

 F, 5, 3, 12

 E, 5, 4, 10

 C, 5, 4, 19

 F, 5, 4, 14

 F, 5, 6, 16

 F, 6, 1, 18

 E, 6, 2, 5

 C, 6, 2, 19

 F, 6, 2, 16

 E, 6, 3, 8

 C, 6, 3, 39

 F, 6, 3, 15

 E, 6, 4, 10

 C, 6, 4, 13

 F, 6, 4, 8

 F, 6, 5, 9

